入力csv列ヘッダー,コード,value,市区町村用サブコード,複数値を::で繋ぐ可能性
公開情報区分,公開情報区分コード,公開情報区分,,FALSE
雇用形態区分,雇用形態区分コード,雇用形態区分,,TRUE
職種コード,職種コード,職種名（表示名）,,FALSE
給与区分,給与区分コード,給与区分,,FALSE
県コード1,都道府県コード,都道府県名,,FALSE
市区町村コード1,市区町村コード,市区町村名,市区町村コード対応都道府県コード,FALSE
最寄駅コード1,最寄駅コード,駅名,,FALSE
県コード2,都道府県コード,都道府県名,,FALSE
市区町村コード2,市区町村コード,市区町村名,市区町村コード対応都道府県コード,FALSE
最寄駅コード2,最寄駅コード,駅名,,FALSE
県コード3,都道府県コード,都道府県名,,FALSE
市区町村コード3,市区町村コード,市区町村名,市区町村コード対応都道府県コード,FALSE
最寄駅コード3,最寄駅コード,駅名,,FALSE
県コードその他,都道府県コード,都道府県名,,FALSE
市区町村コードその他,市区町村コード,市区町村名,市区町村コード対応都道府県コード,FALSE
最寄駅コードその他,最寄駅コード,駅名,,FALSE
特徴コード,特徴コード,特徴名（表示名）,,TRUE
自分力バロメータコード1,自分力パラメータコード,自分力パラメータ名（表示名）,,FALSE
自分力バロメータ値1,自分力パラメータ値,自分力パラメータ値名（表示名）,,FALSE
自分力バロメータコード2,自分力パラメータコード,自分力パラメータ名（表示名）,,FALSE
自分力バロメータ値2,自分力パラメータ値,自分力パラメータ値名（表示名）,,FALSE
自分力バロメータコード3,自分力パラメータコード,自分力パラメータ名（表示名）,,FALSE
自分力バロメータ値3,自分力パラメータ値,自分力パラメータ値名（表示名）,,FALSE
Indeed用求人関連タグ,タグコード,タグ名（表示名）,,TRUE
固定残業代の有無,固定残業代有無コード,固定残業代有無区分,,FALSE
勤務形態,勤務形態コード,勤務形態区分,,TRUE
社会保険整備状況,社会保険整備状況コード,社会保険整備状況区分,,TRUE
給与区分(試用期間),給与区分コード,給与区分,,FALSE
固定残業代の有無(試用期間),固定残業代有無コード,固定残業代有無区分,,FALSE
紹介先企業の雇用形態区分,雇用形態区分コード,雇用形態区分,,FALSE